date,open,high,low,close,volume,symbol
2013-07-08,3.3,3.41,3.3,3.37,4960,BIC
2013-07-09,3.3,3.34,3.27,3.34,6400,BIC
2013-07-10,3.34,3.34,3.24,3.34,5580,BIC
2013-07-11,3.34,3.34,3.34,3.34,110,BIC
2013-07-12,3.41,3.41,3.27,3.37,21170,BIC
2013-07-15,3.41,3.41,3.37,3.41,6510,BIC
2013-07-16,3.41,3.44,3.41,3.44,6000,BIC
2013-07-17,3.44,3.44,3.2,3.37,10280,BIC
2013-07-18,3.34,3.37,3.27,3.34,2920,BIC
2013-07-19,3.41,3.41,3.3,3.34,4740,BIC
2013-07-22,3.41,3.41,3.3,3.34,2610,BIC
2013-07-23,3.3,3.3,3.13,3.24,47500,BIC
2013-07-24,3.27,3.3,3.2,3.2,11870,BIC
2013-07-25,3.2,3.27,3.06,3.06,11290,BIC
2013-07-26,2.99,3.24,2.99,3.2,620,BIC
2013-07-29,3.17,3.17,3.06,3.06,1680,BIC
2013-07-30,3.2,3.24,3.06,3.17,9700,BIC
2013-07-31,3.2,3.24,3.06,3.2,2600,BIC
2013-08-01,3.2,3.24,3.17,3.24,10960,BIC
2013-08-02,3.17,3.24,3.17,3.24,5100,BIC
2013-08-05,3.1,3.2,3.1,3.1,3130,BIC
2013-08-06,3.06,3.1,2.89,3.1,70200,BIC
2013-08-07,3.1,3.1,3.06,3.1,4060,BIC
2013-08-08,3.1,3.1,3.03,3.03,13000,BIC
2013-08-09,3.1,3.17,3.03,3.17,47010,BIC
2013-08-12,3.24,3.24,3.1,3.17,11010,BIC
2013-08-13,3.2,3.2,3.06,3.13,1230,BIC
2013-08-14,3.13,3.13,3.03,3.03,11590,BIC
2013-08-15,3.13,3.13,3.06,3.1,35880,BIC
2013-08-16,3.17,3.17,3.06,3.13,4730,BIC
2013-08-19,3.13,3.17,3.03,3.13,11530,BIC
2013-08-20,3.1,3.1,3.06,3.1,12730,BIC
2013-08-21,3.03,3.1,2.99,2.99,21000,BIC
2013-08-22,2.99,3.03,2.99,2.99,18190,BIC
2013-08-23,3.03,3.03,2.99,3.03,10240,BIC
2013-08-26,3.03,3.06,2.99,3.06,12300,BIC
2013-08-27,3.06,3.06,3.03,3.06,2230,BIC
2013-08-28,2.99,2.99,2.93,2.96,12620,BIC
2013-08-29,3.06,3.06,2.93,2.96,640,BIC
2013-08-30,3.03,3.03,3.03,3.03,2270,BIC
2013-09-03,3.03,3.03,3.03,3.03,1100,BIC
2013-09-04,2.99,3.1,2.99,3.1,4530,BIC
2013-09-05,3.03,3.13,3.03,3.13,56340,BIC
2013-09-06,3.1,3.13,3.1,3.13,1800,BIC
2013-09-09,3.17,3.17,3.06,3.13,660,BIC
2013-09-10,3.1,3.17,3.1,3.17,5560,BIC
2013-09-11,3.13,3.13,3.13,3.13,20,BIC
2013-09-12,3.17,3.17,3.17,3.17,200,BIC
2013-09-13,3.03,3.06,3.03,3.03,20000,BIC
2013-09-16,3.13,3.13,3.03,3.1,310,BIC
2013-09-17,3.03,3.06,3.03,3.06,8450,BIC
2013-09-18,3.03,3.1,3.03,3.1,7720,BIC
2013-09-19,3.06,3.06,3.03,3.06,2020,BIC
2013-09-20,2.89,3.1,2.89,3.1,4120,BIC
2013-09-23,3.1,3.1,3.1,3.1,10,BIC
2013-09-24,3.1,3.1,3.03,3.1,1040,BIC
2013-09-25,3.1,3.1,3.03,3.06,1500,BIC
2013-09-26,3.03,3.06,2.96,3.06,16110,BIC
2013-09-27,2.99,3.06,2.99,3.06,5330,BIC
2013-09-30,3.13,3.13,2.93,3.1,8490,BIC
2013-10-01,3.1,3.13,3.06,3.1,6400,BIC
2013-10-02,3.06,3.13,3.06,3.13,29560,BIC
2013-10-03,3.13,3.17,2.99,2.99,27710,BIC
2013-10-04,3.13,3.13,3.03,3.06,28160,BIC
2013-10-07,3.13,3.17,3.1,3.13,23510,BIC
2013-10-08,3.13,3.17,3.13,3.17,14230,BIC
2013-10-09,3.13,3.13,3.06,3.13,2750,BIC
2013-10-10,3.1,3.13,3.06,3.13,25570,BIC
2013-10-11,3.1,3.17,3.06,3.17,35130,BIC
2013-10-14,3.13,3.13,3.1,3.13,4940,BIC
2013-10-15,3.13,3.17,3.1,3.17,18020,BIC
2013-10-16,3.13,3.13,3.1,3.13,12540,BIC
2013-10-17,3.17,3.3,3.13,3.3,48860,BIC
2013-10-18,3.34,3.34,3.24,3.24,11290,BIC
2013-10-21,3.37,3.37,3.24,3.3,60340,BIC
2013-10-22,3.3,3.34,3.24,3.24,4670,BIC
2013-10-23,3.34,3.37,3.24,3.3,20310,BIC
2013-10-24,3.3,3.51,3.3,3.48,182750,BIC
2013-10-25,3.41,3.55,3.37,3.44,43830,BIC
2013-10-28,3.41,3.48,3.37,3.41,84620,BIC
2013-10-29,3.34,3.41,3.34,3.41,19050,BIC
2013-10-30,3.48,3.58,3.44,3.55,100700,BIC
2013-10-31,3.51,3.55,3.44,3.48,50250,BIC
2013-11-01,3.44,3.51,3.44,3.48,76850,BIC
2013-11-04,3.44,3.48,3.44,3.48,72480,BIC
2013-11-05,3.51,3.51,3.44,3.44,120370,BIC
2013-11-06,3.44,3.51,3.44,3.51,117740,BIC
2013-11-07,3.48,3.51,3.44,3.48,63950,BIC
2013-11-08,3.51,3.51,3.44,3.44,101490,BIC
2013-11-11,3.48,3.48,3.41,3.44,63460,BIC
2013-11-12,3.44,3.55,3.44,3.55,163860,BIC
2013-11-13,3.61,3.61,3.48,3.51,18100,BIC
2013-11-14,3.48,3.51,3.48,3.51,11940,BIC
2013-11-15,3.48,3.51,3.48,3.48,9640,BIC
2013-11-18,3.44,3.58,3.44,3.58,74110,BIC
2013-11-19,3.55,3.61,3.55,3.58,24280,BIC
2013-11-20,3.58,3.61,3.58,3.61,30330,BIC
2013-11-21,3.61,3.86,3.58,3.61,225510,BIC
2013-11-22,3.61,3.86,3.61,3.82,183460,BIC
2013-11-25,3.86,4.03,3.86,3.99,174790,BIC
2013-11-26,3.92,4.13,3.92,4.1,135450,BIC
2013-11-27,3.99,4.2,3.99,4.1,215150,BIC
